飞机地址码,数据来源,航班号,飞机注册号,航向,经度,维度,垂直加速度,地速,高度,接收机位置,未知 
780786,SZAir,ZH9959,B-5606,332.840210,113.418526,23.474571,624,718,6400,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.803604,22.638531,0,19,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.705948,123.906425,41.156555,546,620,6096,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486679,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.113220,109.924057,21.397690,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,319.597809,110.158028,21.261013,0,751,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.941566,21.366360,0,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.705948,123.906425,41.156555,546,620,6126,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486679,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,332.907501,113.418526,23.474571,624,719,6400,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.803619,22.638542,0,19,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.773499,123.901680,41.149990,546,623,6149,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486679,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.113220,109.924057,21.397690,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,319.490448,110.153069,21.266464,0,752,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.941566,21.366360,0,781,9174,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,332.776398,113.411667,23.486938,604,720,6454,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.803772,22.638702,0,19,0,SZXZH1,SZXZH1
780786,SZAir,ZH9959,B-5606,332.843628,113.409515,23.490784,604,722,6477,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.803955,22.638702,0,19,0,SZXZH1,SZXZH1
780B1E,HNAir,ZH9556,,298.113220,109.916840,21.401321,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,319.199493,110.153069,21.266464,-19,751,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.941566,21.366360,0,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.610458,123.900696,41.148651,585,626,6164,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486679,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,332.843628,113.409515,23.490784,604,722,6477,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.803940,22.638702,0,19,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.677765,123.895317,41.141193,604,629,6210,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486679,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,332.843628,113.406723,23.495752,604,722,6507,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.804115,22.638702,0,19,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.663956,123.891907,41.136475,624,633,6240,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.113220,109.901627,21.408909,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,314.798950,110.139664,21.279867,-19,746,7193,HAKHU1,HAKHU1
780B1E,SH,ZH9556,,298.113220,109.899834,21.409790,0,766,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,313.793945,110.135895,21.283218,-19,746,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.906830,21.356165,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.113220,109.899834,21.409790,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,313.793945,110.139664,21.279867,-19,746,7193,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.583786,123.889465,41.133133,643,634,6278,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,336.229248,113.405426,23.498199,526,730,6560,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.804283,22.638878,0,19,0,SZXZH1,SZXZH1
780B1E,SH,ZH9556,,298.113220,109.899834,21.409790,0,766,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,313.288696,110.133545,21.285233,-19,745,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.899040,21.353897,0,781,9174,ZGBH,ZGBH
780bef,SYAirport,ZH9462,,208.583786,123.887085,41.129791,643,634,6294,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.113220,109.894356,21.412540,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,312.781921,110.135292,21.283768,-19,744,7193,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,336.229248,113.405426,23.498199,526,730,6560,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.804306,22.638885,0,19,0,SZXZH1,SZXZH1
780B1E,SH,ZH9556,,298.113220,109.899834,21.409790,0,766,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,312.379150,110.129951,21.288208,-19,744,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.899040,21.353897,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.113220,109.893295,21.413040,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,312.379150,110.132034,21.286476,-19,744,7193,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.504013,123.887085,41.129791,663,636,6324,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,338.278961,113.405426,23.498199,526,735,6591,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.804459,22.638878,0,19,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817940,22.625959,0,2,0,SZXZH1,SZXZH1
780B1E,SH,ZH9556,,298.113220,109.887131,21.416124,0,766,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,311.360657,110.126953,21.290634,-19,742,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.767487,110.886993,21.350346,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.113220,109.887131,21.416124,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,310.957550,110.126953,21.290634,-19,743,7193,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,338.278961,113.405426,23.498199,526,735,6591,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.804642,22.639046,0,19,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817932,22.625965,0,0,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.570694,123.882996,41.124161,682,638,6347,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780B1E,SH,ZH9556,,298.113220,109.884949,21.417242,0,766,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,310.446228,110.126953,21.290634,-19,742,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.767487,110.886993,21.350346,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.113220,109.884232,21.417568,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,309.933838,110.125427,21.291830,-19,741,7193,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,338.278961,113.405426,23.498199,526,735,6637,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.804642,22.639046,0,19,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817932,22.625965,0,0,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.570694,123.882393,41.123318,682,638,6370,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,342.824097,113.405426,23.498199,585,746,6637,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.570694,123.882393,41.123318,682,638,6385,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486641,41.629292,0,0,0,ZYTX,ZYTX
780B1E,SH,ZH9556,,298.169891,109.874825,21.422316,0,768,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,306.956024,110.113815,21.300247,-19,739,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.767487,110.880173,21.348391,0,781,9174,ZGBH,ZGBH
780B1E,SH,ZH9556,,298.169891,109.874825,21.422316,0,768,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,306.006195,110.113815,21.300247,-19,737,7185,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.767487,110.867630,21.344696,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.048096,109.881706,21.418854,0,768,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,306.006195,110.113815,21.300247,-19,737,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.767487,110.873055,21.346296,0,781,9174,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,346.542480,113.405426,23.498199,526,756,6713,SZXZH1,SZXZH1
7802C5,SZAir,ZH9673,B-5617,357.299377,113.291168,23.479040,312,393,1150,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.805153,22.639217,0,19,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817932,22.625965,0,0,0,SZXZH1,SZXZH1
780B1E,HNAir,ZH9556,,298.048096,109.881706,21.418854,0,768,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,305.134186,110.108337,21.303841,-19,733,7185,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.767487,110.873055,21.346296,0,781,9174,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,347.895477,113.405426,23.498199,487,759,6713,SZXZH1,SZXZH1
7802C5,SZAir,ZH9673,B-5617,357.299377,113.290962,23.483963,312,393,1165,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.805145,22.639227,0,19,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817932,22.625965,0,0,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.479111,123.871277,41.107819,682,644,6484,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486649,41.629280,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,351.714203,113.389175,23.543934,429,771,6766,SZXZH1,SZXZH1
7802C5,SZAir,ZH9673,B-5617,355.950409,113.290466,23.492065,799,419,1249,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.805489,22.639389,0,19,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817940,22.625971,0,0,0,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.322937,123.866974,41.101856,702,647,6560,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.048096,109.843643,21.437912,0,768,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,299.521362,110.088402,21.315262,19,706,7185,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.848656,21.339157,0,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.466888,123.858864,41.090450,780,648,6644,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,355.788666,113.387856,23.552170,429,781,6804,SZXZH1,SZXZH1
7802C5,SZAir,ZH9673,B-5617,352.536499,113.290352,23.493006,721,427,1325,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.805832,22.639565,0,20,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,53.437500,113.817932,22.625977,0,1,0,SZXZH1,SZXZH1
780B1E,HNAir,ZH9556,,298.113220,109.843643,21.437912,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.658661,110.084457,21.317276,19,702,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.848656,21.339157,-19,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.389145,123.857422,41.088455,760,650,6667,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780bef,SYAirport,ZH9462,,208.389145,123.857422,41.088455,760,650,6667,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.113220,109.843643,21.437912,0,766,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.331635,110.082802,21.318087,19,698,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.833282,21.334658,-19,781,9174,HAKHU1,HAKHU1
780B1E,HNAir,ZH9556,,298.113220,109.843643,21.437912,0,766,7795,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.197754,110.078888,21.320087,0,697,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.828232,21.333160,-19,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.389145,123.857422,41.088455,721,650,6713,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.244263,109.843643,21.437912,-19,763,7795,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.135345,110.074966,21.322042,0,695,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.767487,110.824127,21.331959,-19,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.389145,123.857422,41.088455,702,650,6736,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.253418,109.843643,21.437912,-19,758,7795,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.279968,110.072021,21.323547,-19,691,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.767487,110.824127,21.331959,-19,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.311768,123.849434,41.077278,682,652,6774,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,SH,ZH9556,,298.291077,109.815773,21.451878,19,742,7795,ZGBH,ZGBH
780CFE,SH,ZH9594,,298.363586,110.062332,21.328445,-19,686,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.809021,21.327536,0,781,9174,ZGBH,ZGBH
780bef,SYAirport,ZH9462,,208.454834,123.841858,41.066666,721,653,6850,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,SH,ZH9556,,298.300751,109.814041,21.452774,19,738,7795,ZGBH,ZGBH
780CFE,SH,ZH9594,,298.300751,110.058487,21.330368,-19,683,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.803558,21.325928,-19,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.300751,109.810547,21.454514,19,738,7795,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.300751,110.060066,21.329584,-19,683,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.802658,21.325699,-19,781,9174,HAKHU1,HAKHU1
780B1E,HNAir,ZH9556,,298.242157,109.807434,21.456114,19,735,7795,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.300751,110.057838,21.330688,0,683,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.799812,21.324837,0,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.454834,123.840820,41.065220,780,653,6903,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,2.232879,113.387550,23.601379,448,808,6949,SZXZH1,SZXZH1
7802C5,SZAir,ZH9673,B-5617,345.207611,113.285019,23.515869,994,442,1607,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.806862,22.640076,0,24,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,334.687500,113.817307,22.627087,0,90,0,SZXZH1,SZXZH1
780B1E,SH,ZH9556,,298.261230,109.804688,21.457462,19,727,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,298.237457,110.053345,21.332977,0,681,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.803558,21.325928,0,781,9174,ZGBH,ZGBH
780B1E,SH,ZH9556,,298.270935,109.797157,21.461281,0,723,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,298.237457,110.045929,21.336706,0,681,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.803558,21.325928,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.201630,109.798859,21.460419,19,725,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.237457,110.045929,21.336706,0,681,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.796822,21.323959,0,781,9174,HAKHU1,HAKHU1
780bef,SYAirport,ZH9462,,208.520020,123.832207,41.053162,741,655,6972,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,2.358676,113.388023,23.612133,468,810,6987,SZXZH1,SZXZH1
7802C5,SZAir,ZH9673,B-5617,345.499847,113.282623,23.524292,1072,443,1729,SZXZH1,SZXZH1
78044B,SZAir,ZH9845,B-5365,0,113.807037,22.640247,0,24,0,SZXZH1,SZXZH1
7807AD,SZAir,ZH9793,B-5616,334.687500,113.815155,22.631046,0,203,0,SZXZH1,SZXZH1
780B1E,HNAir,ZH9556,,298.141602,109.793747,21.462955,0,722,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.237457,110.042114,21.338615,0,681,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.796822,21.323959,0,781,9174,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,2.353297,113.388023,23.612133,487,811,6987,SZXZH1,SZXZH1
780B1E,SH,ZH9556,,298.150696,109.789680,21.465004,-39,718,7802,ZGBH,ZGBH
780CFE,SH,ZH9594,,298.311340,110.036316,21.341549,0,679,7193,ZGBH,ZGBH
780250,SH,ZH9921,B-6153,252.637878,110.779739,21.318970,0,781,9174,ZGBH,ZGBH
780B1E,HNAir,ZH9556,,298.150696,109.793747,21.462955,-39,718,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.311340,110.036316,21.341549,0,679,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.774895,21.317551,0,781,9174,HAKHU1,HAKHU1
780B1E,HNAir,ZH9556,,298.220520,109.785927,21.466873,-39,716,7802,HAKHU1,HAKHU1
780CFE,HNAir,ZH9594,,298.311340,110.032501,21.343456,0,679,7193,HAKHU1,HAKHU1
780250,HNAir,ZH9921,B-6153,252.637878,110.770905,21.316360,0,781,9174,HAKHU1,HAKHU1
780786,SZAir,ZH9959,B-5606,2.472600,113.388802,23.628799,507,815,7056,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.520020,123.825157,41.043388,721,655,7063,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780786,SZAir,ZH9959,B-5606,2.472600,113.389076,23.634750,526,815,7078,SZXZH1,SZXZH1
780bef,SYAirport,ZH9462,,208.520020,123.821037,41.037613,643,655,7109,ZYTX,ZYTX
780570,SYAirport,ZH9850,B-6570,50.625000,123.486656,41.629269,0,0,0,ZYTX,ZYTX
780B1E,HNAir,ZH9556,,298.159882,109.785927,21.466873,-39,714,7802,HAKHU1,HAKHU1
